Date,Home,hpts,Away,apts
11/14/14,Hillsdale FWB,61,Abilene Christian,101
11/14/14,UMBC,57,Akron,74
11/14/14,Towson,54,Alabama,82
11/14/14,Auburn Montgomery,64,Alabama St.,105
11/14/14,Mount St. Mary's,55,Arizona,78
11/14/14,Chicago St.,50,Arizona St.,86
11/14/14,Air Force,78,Army,84
11/14/14,Milwaukee,73,Auburn,83
11/14/14,McNeese St.,39,Baylor,80
11/14/14,New Hampshire,50,Boston College,58
11/14/14,UT Arlington,86,Bradley,75
11/14/14,Saint Peter's,58,Brown,70
11/14/14,Marist,72,Bucknell,75
11/14/14,South Dakota St.,67,Buffalo,69
11/14/14,Long Beach St.,90,BYU,95
11/14/14,High Point,100,Cal St. Bakersfield,99
11/14/14,Alcorn St.,57,California,91
11/14/14,Barber Scotia,58,Campbell,97
11/14/14,Fairfield,71,Central Connecticut,63
11/14/14,Alma,64,Central Michigan,106
11/14/14,Hiwassee,53,Chattanooga,110
11/14/14,St. Francis PA,37,Cincinnati,52
11/14/14,Florida A&M,41,Clemson,86
11/14/14,Trinity Baptist,36,Coastal Carolina,79
11/14/14,Drexel,48,Colorado,65
11/14/14,Bryant,53,Connecticut,66
11/14/14,Central Arkansas,77,Creighton,104
11/14/14,Alabama A&M,52,Dayton,76
11/14/14,Illinois Chicago,71,DePaul,72
11/14/14,Rochester MI,54,Detroit,77
11/14/14,Presbyterian,44,Duke,113
11/14/14,NC Wesleyan,81,East Carolina,99
11/14/14,Savannah St.,53,Eastern Kentucky,76
11/14/14,St. Francis IL,52,Eastern Michigan,64
11/14/14,Texas Southern,62,Eastern Washington,86
11/14/14,Florida Atlantic,58,Elon,64
11/14/14,William & Mary,45,Florida,68
11/14/14,NYIT,77,Fordham,94
11/14/14,College of Charleston,75,Furman,40
11/14/14,Cornell,68,George Mason,60
11/14/14,Grambling St.,40,George Washington,92
11/14/14,Tennessee Temple,55,Georgia St.,115
11/14/14,Georgia,73,Georgia Tech,80
11/14/14,Sacramento St.,58,Gonzaga,104
11/14/14,MIT,52,Harvard,73
11/14/14,Arkansas Pine Bluff,57,Hawaii,85
11/14/14,Jacksonville,61,Hofstra,94
11/14/14,Eastern Oregon,65,Idaho,77
11/14/14,Georgia Southern,71,Illinois,80
11/14/14,Texas Tyler,49,Incarnate Word,89
11/14/14,Mississippi Valley St.,65,Indiana,116
11/14/14,Cleveland St.,73,Iona,78
11/14/14,Hampton,56,Iowa,90
11/14/14,Oakland,82,Iowa St.,93
11/14/14,Manchester,50,IPFW,74
11/14/14,Indiana St.,79,IUPUI,66
11/14/14,Virginia,79,James Madison,51
11/14/14,UC Santa Barbara,59,Kansas,69
11/14/14,Southern Utah,68,Kansas St.,98
11/14/14,Grand Canyon,45,Kentucky,85
11/14/14,Randolph,45,Liberty,69
11/14/14,Berry,70,Lipscomb,91
11/14/14,Averett,53,Longwood,79
11/14/14,Louisiana College,57,Louisiana Lafayette,85
11/14/14,Rockhurst,58,Loyola Chicago,71
11/14/14,Southeast Missouri St.,66,Loyola Marymount,76
11/14/14,Tennessee Martin,63,Marquette,79
11/14/14,Jacksonville St.,55,Marshall,74
11/14/14,Wagner,48,Maryland,82
11/14/14,Siena,87,Massachusetts,95
11/14/14,Piedmont,48,Mercer,88
11/14/14,Howard,49,Miami FL,84
11/14/14,Ohio Valley,60,Middle Tennessee,77
11/14/14,Louisville,81,Minnesota,68
11/14/14,Charleston Southern,66,Mississippi,65
11/14/14,Western Carolina,56,Mississippi St.,66
11/14/14,UMKC,69,Missouri,61
11/14/14,Eastern Illinois,53,Missouri St.,64
11/14/14,Houston,77,Murray St.,74
11/14/14,Michigan St.,64,Navy,59
11/14/14,Idaho St.,55,New Mexico,79
11/14/14,Pfeiffer,43,Norfolk St.,81
11/14/14,North Carolina Central,60,North Carolina,76
11/14/14,Greensboro,61,North Carolina A&T,91
11/14/14,Jackson St.,58,North Carolina St.,93
11/14/14,Arkansas Monticello,62,North Texas,84
11/14/14,Black Hills St.,62,Northern Colorado,83
11/14/14,Houston Baptist,58,Northwestern,65
11/14/14,Binghamton,39,Notre Dame,82
11/14/14,UMass Lowell,55,Ohio St.,92
11/14/14,Southeastern Louisiana,55,Oklahoma St.,83
11/14/14,Coppin St.,65,Oregon,107
11/14/14,Rice,54,Oregon St.,67
11/14/14,Morgan St.,48,Penn St.,61
11/14/14,Fresno St.,74,Pepperdine,89
11/14/14,Niagara,45,Pittsburgh,78
11/14/14,Concordia OR,59,Portland,87
